Breakdown,2022-05-31,2022-02-28,2021-11-30,2021-08-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2494624000,2050450000,2406132000,1917805000
minorityInterest,622629000,596956000,585459000,567660000
netIncome,1786075000,1634942000,1791024000,1416248000
sellingGeneralAdministrative,2711616000,2462379000,2482495000,2507527000
grossProfit,5314734000,4523959000,4916789000,4466216000
ebit,2603118000,2061580000,2434294000,1958689000
operatingIncome,2603118000,2061580000,2434294000,1958689000
otherOperatingExpenses,,,,
interestExpense,-12050000,-11216000,-11183000,-12977000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,675308000,392921000,586402000,480382000
totalRevenue,16158803000,15046693000,14965153000,13419284000
totalOperatingExpenses,13555685000,12985113000,12530859000,11460595000
costOfRevenue,10844069000,10522734000,10048364000,8953068000
totalOtherIncomeExpenseNet,-108494000,-11130000,-28162000,-40884000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1819316000,1657529000,1819730000,1437423000
netIncomeApplicableToCommonShares,1786075000,1634942000,1791024000,1416248000
capitalSurplus,10534282000,10065790000,9097934000,8617838000
totalLiab,24083475000,23160858000,22736085000,23078729000
totalStockholderEquity,21389094000,20560023000,20353199000,19529454000
minorityInterest,622629000,596956000,585459000,567660000
deferredLongTermLiab,826042000,793800000,751939000,731445000
otherCurrentLiab,5237389000,5212073000,4580195000,4662058000
totalAssets,46095198000,44317837000,43674743000,43175843000
commonStock,72000,72000,72000,72000
otherCurrentAssets,2080776000,2122107000,1857166000,1765831000
retainedEarnings,17177358000,16028399000,15110688000,13988748000
otherLiab,4774848000,4805065000,4774174000,4619472000
goodWill,12499443000,12427823000,12395904000,11125861000
treasuryStock,-6322618000,-5534238000,-3855495000,-3077204000
otherAssets,7412398000,7462304000,7520343000,7232321000
cash,6703568000,5466116000,5637117000,8168174000
totalCurrentLiabilities,16562592000,15540122000,15232007000,15708867000
deferredLongTermAssetCharges,4013089000,4018121000,4036565000,4007130000
shortLongTermDebt,8768000,9092000,9089000,12080000
otherStockholderEquity,-200216000,-236889000,224130000,331287000
propertyPlantEquipment,4844114000,4905704000,4811130000,4821624000
totalCurrentAssets,21007740000,19185130000,18621652000,19666511000
longTermInvestments,331503000,336876000,325714000,329526000
netTangibleAssets,8889651000,8132200000,7957295000,8403593000
shortTermInvestments,4322000,6031000,6968000,4294000
netReceivables,12219074000,11590876000,11120401000,9728212000
longTermDebt,51546000,52152000,55884000,53473000
accountsPayable,2384352000,2229221000,2210163000,2274057000
