Breakdown,2022-06-03,2022-03-04,2021-12-03,2021-09-03
researchDevelopment,738000000,701000000,657000000,651000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1492000000,1543000000,1468000000,1418000000
minorityInterest,,,,
netIncome,1178000000,1266000000,1233000000,1212000000
sellingGeneralAdministrative,1538000000,1427000000,1405000000,1333000000
grossProfit,3847000000,3750000000,3603000000,3468000000
ebit,1529000000,1580000000,1501000000,1441000000
operatingIncome,1529000000,1580000000,1501000000,1441000000
otherOperatingExpenses,,,,
interestExpense,-28000000,-28000000,-28000000,-27000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,314000000,277000000,235000000,206000000
totalRevenue,4386000000,4262000000,4110000000,3935000000
totalOperatingExpenses,2857000000,2682000000,2609000000,2494000000
costOfRevenue,539000000,512000000,507000000,467000000
totalOtherIncomeExpenseNet,-37000000,-37000000,-33000000,-23000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1178000000,1266000000,1233000000,1212000000
netIncomeApplicableToCommonShares,1178000000,1266000000,1233000000,1212000000
intangibleAssets,1650000000.0,1743000000.0,1820000000.0,1557000000.0
capitalSurplus,9102000000.0,8750000000.0,8428000000.0,8209000000.0
totalLiab,12341000000.0,12201000000.0,12444000000.0,11730000000.0
totalStockholderEquity,13985000000.0,13775000000.0,14797000000.0,14414000000.0
otherCurrentLiab,4815000000.0,5082000000.0,4923000000.0,4422000000.0
totalAssets,26326000000.0,25976000000.0,27241000000.0,26144000000.0
otherCurrentAssets,128000000.0,94000000.0,303000000.0,48000000.0
retainedEarnings,26022000000.0,24961000000.0,23905000000.0,22750000000.0
otherLiab,887000000.0,931000000.0,936000000.0,951000000.0
goodWill,12801000000.0,12795000000.0,12668000000.0,11838000000.0
treasuryStock,-21139000000.0,-19936000000.0,-17536000000.0,-16545000000.0
otherAssets,1747000000.0,1824000000.0,1968000000.0,2049000000.0
cash,3365000000.0,2739000000.0,3844000000.0,4623000000.0
totalCurrentLiabilities,7385000000.0,7197000000.0,6932000000.0,6191000000.0
deferredLongTermAssetCharges,882000000.0,950000000.0,1085000000.0,1190000000.0
shortLongTermDebt,499000000.0,499000000.0,,
otherStockholderEquity,-195000000.0,-177000000.0,-137000000.0,-131000000.0
propertyPlantEquipment,2220000000.0,2138000000.0,2116000000.0,2081000000.0
totalCurrentAssets,7908000000.0,7476000000.0,8669000000.0,8619000000.0
netTangibleAssets,-466000000.0,-763000000.0,309000000.0,1019000000.0
shortTermInvestments,1934000000.0,1962000000.0,1954000000.0,1541000000.0
netReceivables,1588000000.0,1685000000.0,1878000000.0,1545000000.0
longTermDebt,3627000000.0,3626000000.0,4123000000.0,4122000000.0
accountsPayable,366000000.0,295000000.0,312000000.0,331000000.0
deferredLongTermLiab,,,406000000.0,
