Breakdown,2022-02-28,2021-11-30,2021-08-31,2021-05-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-962523,-962523,10177836,10177836
minorityInterest,,,,
netIncome,-962523,-962523,10177836,10177836
sellingGeneralAdministrative,720368,720368,725991,725991
grossProfit,3794903,3794903,3432428,3432428
ebit,3074535,3074535,2706436,2706436
operatingIncome,3074535,3074535,2706436,2706436
otherOperatingExpenses,,,,
interestExpense,-638612,-638612,-648754,-648754
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,0,0,0,0
totalRevenue,3794903,3794903,3432428,3432428
totalOperatingExpenses,720368,720368,725991,725991
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-4037058,-4037058,7471400,7471400
discontinuedOperations,,,,
netIncomeFromContinuingOps,-962523,-962523,10177836,10177836
netIncomeApplicableToCommonShares,-962523,-962523,10177836,10177836
totalLiab,66579765.0,66579765.0,67977170.0,67977170.0
totalStockholderEquity,214926997.0,214926997.0,224245846.0,224245846.0
totalAssets,281506762.0,281506762.0,292223016.0,292223016.0
commonStock,164229882.0,164229882.0,164229882.0,164229882.0
retainedEarnings,50697115.0,50697115.0,60015964.0,60015964.0
otherAssets,24375.0,24375.0,53398.0,53398.0
cash,4955414.0,4955414.0,1417475.0,1417475.0
totalCurrentLiabilities,1617270.0,1617270.0,3031594.0,3031594.0
totalCurrentAssets,8673933.0,8673933.0,4714594.0,4714594.0
longTermInvestments,272808454.0,272808454.0,287455024.0,287455024.0
netTangibleAssets,214926997.0,214926997.0,224245846.0,224245846.0
netReceivables,3718519.0,3718519.0,3297119.0,3297119.0
longTermDebt,64962495.0,64962495.0,64945576.0,64945576.0
accountsPayable,96249.0,96249.0,300000.0,300000.0
otherCurrentLiab,,,1068105.0,1068105.0
